Experiment,LearningRate,Depth,L2LeafReg,BorderCount,Trial1_Error,Trial2_Error,Trial3_Error
1,0.05,4,1.0,32,2.315780184847652,2.418283087394782,2.3623098421478947
2,0.05,6,3.0,64,2.046490656259915,2.0906993809408743,2.099206854197962
3,0.05,8,5.0,128,1.9628824022360976,2.0441301203465563,1.9907104034810787
4,0.1,4,3.0,128,1.967380089229686,2.048980441683549,1.9760167118923189
5,0.1,6,5.0,32,1.9911169463092815,2.0670834306840162,1.9309321378746955
6,0.1,8,1.0,64,1.9596048907895163,2.0900292818217108,1.9691430246462738
7,0.2,4,5.0,64,1.9707655267805324,2.0592316818949836,1.9524509554904297
8,0.2,6,1.0,128,1.9227514543632218,2.0197645331422986,1.930549751445341
9,0.2,8,3.0,32,1.8898738762144427,2.02432538390654,1.9635758523426954
